Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,0-19,0-19,20-29,20-29,30-39,30-39,40-49,40-49,50+,50+,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
40,Tristan Vizcaino,2TM,26,,3,0,,,,,1,1,1,1,,,2,2,46,100.0%,3,3,100.0%,12,740,4,33.3%,61.7
41,Nick Sciba,PIT,23,K,1,0,,,1,1,1,1,,,,,2,2,38,100.0%,1,1,100.0%,4,232,,,58.0
42,Dominik Eberle,DET,26,K,1,0,,,,,,,1,1,,,1,1,49,100.0%,4,2,50.0%,7,361,5,71.4%,51.6
43,Josh Lambo,TEN,32,K,1,0,,,,,,,,,,,,,,,4,3,75.0%,5,307,,,61.4
44,Justin Reid,KAN,25,S,17,17,,,,,,,,,,,,,,,2,1,50.0%,7,445,5,71.4%,63.6
45,Mitch Wishnowsky,SFO,30,P,17,0,,,,,,,,,,,,,,,2,1,50.0%,4,240,,,60.0
46,Bradley Pinion,ATL,28,P,17,0,,,,,,,,,,,,,,,,,,80,5143,59,73.8%,64.3
47,Jake Camarda,TAM,23,P,17,0,,,,,,,,,,,,,,,,,,78,4859,40,51.3%,62.3
48,Jack Fox,DET,26,P,17,0,,,,,,,,,,,,,,,,,,63,4077,45,71.4%,64.7
49,Jake Bailey,NWE,25,P,9,0,,,,,,,,,,,,,,,,,,46,2949,28,60.9%,64.1
50,Trenton Gill,CHI,23,P,17,0,,,,,,,,,,,,,,,,,,27,1743,13,48.1%,64.6
51,Braden Mann,NYJ,25,P,17,0,,,,,,,,,,,,,,,,,,17,855,11,64.7%,50.3
52,Ramiz Ahmed,GNB,27,K,1,0,,,,,,,,,,,,,,,,,,6,370,3,50.0%,61.7
53,JK Scott,LAC,27,P,17,0,,,,,,,,,,,,,,,,,,6,387,5,83.3%,64.5
54,Eno Benjamin,3TM,23,,15,3,,,,,,,,,,,,,,,,,,3,158,,,52.7
55,Ryan Stonehouse,TEN,23,P,17,0,,,,,,,,,,,,,,,,,,3,180,2,66.7%,60.0
56,Thomas Morstead,MIA,36,P,17,0,,,,,,,,,,,,,,,,,,2,147,,,73.5
57,Corey Bojorquez,CLE,26,P,17,0,,,,,,,,,,,,,,,,,,1,79,,,79.0
58,Logan Cooke,JAX,27,P,17,0,,,,,,,,,,,,,,,,,,1,45,,,45.0
59,Michael Dickson,SEA,26,P,17,0,,,,,,,,,,,,,,,,,,1,65,,,65.0
Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg
60,Riley Dixon,LAR,29,P,17,0,,,,,,,,,,,,,,,,,,1,43,,,43.0
61,Jamie Gillan,NYG,25,P,17,0,,,,,,,,,,,,,,,,,,1,57,,,57.0
62,Johnny Hekker,CAR,32,P,17,0,,,,,,,,,,,,,,,,,,1,8,,,8.0
63,Sam Martin,BUF,32,P,16,0,,,,,,,,,,,,,,,,,,1,63,,,63.0
64,Arryn Siposs,PHI,30,P,13,0,,,,,,,,,,,,,,,,,,1,70,,,70.0
65,Tress Way*,WAS,32,P,17,0,,,,,,,,,,,,,,,,,,1,63,,,63.0
