Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
Logan Thomas,WAS,7,4,0.5714,15,0,0.13,3,1,0.3333,0,0,0.107,All Logan Thomas red zone receiving plays
Tommy Tremble,CAR,7,4,0.5714,26,2,0.184,6,3,0.5,9,1,0.353,All Tommy Tremble red zone receiving plays
Nick Westbrook-Ikhine,TEN,7,3,0.4286,24,2,0.125,3,2,0.6667000000000001,11,2,0.125,All Nick Westbrook-Ikhine red zone receiving plays
Ameer Abdullah,LVR,6,5,0.8332999999999999,48,1,0.087,1,1,1.0,2,0,0.03,All Ameer Abdullah red zone receiving plays
Jamal Agnew,JAX,6,5,0.8332999999999999,26,3,0.079,3,3,1.0,13,3,0.094,All Jamal Agnew red zone receiving plays
Daniel Bellinger,NYG,6,5,0.8332999999999999,47,2,0.154,1,1,1.0,8,1,0.05,All Daniel Bellinger red zone receiving plays
Chase Claypool,2TM,6,2,0.3333,10,1,,3,2,0.6667000000000001,10,1,,All Chase Claypool red zone receiving plays
James Cook,BUF,6,3,0.5,24,1,0.078,2,1,0.5,4,1,0.057,All James Cook red zone receiving plays
Will Dissly,SEA,6,5,0.8332999999999999,47,2,0.09,2,1,0.5,3,0,0.07400000000000001,All Will Dissly red zone receiving plays
Clyde Edwards-Helaire,KAN,6,6,1.0,28,3,0.055999999999999994,5,5,1.0,19,3,0.078,All Clyde Edwards-Helaire red zone receiving plays
Antonio Gibson,WAS,6,3,0.5,29,2,0.111,2,2,1.0,18,2,0.071,All Antonio Gibson red zone receiving plays
A.J. Green,ARI,6,1,0.16670000000000001,6,1,0.098,4,1,0.25,6,1,0.14300000000000002,All A.J. Green red zone receiving plays
Damien Harris,NWE,6,3,0.5,3,0,0.13,6,3,0.5,3,0,0.214,All Damien Harris red zone receiving plays
Derrick Henry,TEN,6,4,0.6667000000000001,17,0,0.107,3,2,0.6667000000000001,8,0,0.125,All Derrick Henry red zone receiving plays
Isaiah Hodgins,2TM,6,6,1.0,35,4,,4,4,1.0,21,4,,All Isaiah Hodgins red zone receiving plays
Austin Hooper,TEN,6,4,0.6667000000000001,35,2,0.107,2,2,1.0,10,1,0.083,All Austin Hooper red zone receiving plays
DeAndre Hopkins,ARI,6,3,0.5,18,1,0.098,2,1,0.5,6,1,0.071,All DeAndre Hopkins red zone receiving plays
Julio Jones,TAM,6,4,0.6667000000000001,36,1,0.063,3,1,0.3333,8,1,0.061,All Julio Jones red zone receiving plays
Jarvis Landry,NOR,6,2,0.3333,15,1,0.098,2,1,0.5,7,1,0.095,All Jarvis Landry red zone receiving plays
Terrace Marshall,CAR,6,0,0.0,0,0,0.158,3,0,0.0,0,0,0.17600000000000002,All Terrace Marshall red zone receiving plays
Darnell Mooney,CHI,6,5,0.8332999999999999,51,2,0.162,3,2,0.6667000000000001,6,0,0.17600000000000002,All Darnell Mooney red zone receiving plays
Rondale Moore,ARI,6,2,0.3333,4,0,0.098,2,0,0.0,0,0,0.071,All Rondale Moore red zone receiving plays
Chigoziem Okonkwo,TEN,6,3,0.5,28,2,0.107,3,2,0.6667000000000001,18,2,0.125,All Chigoziem Okonkwo red zone receiving plays
George Pickens,PIT,6,2,0.3333,21,2,0.107,4,1,0.25,7,1,0.138,All George Pickens red zone receiving plays
Alec Pierce,IND,6,1,0.16670000000000001,15,1,0.095,3,0,0.0,0,0,0.094,All Alec Pierce red zone receiving plays
Irv Smith,MIN,6,4,0.6667000000000001,22,2,0.061,3,2,0.6667000000000001,3,2,0.057999999999999996,All Irv Smith red zone receiving plays
Rhamondre Stevenson,NWE,6,5,0.8332999999999999,19,1,0.13,2,2,1.0,8,1,0.071,All Rhamondre Stevenson red zone receiving plays
Javonte Williams,DEN,6,3,0.5,12,0,0.122,3,1,0.3333,6,0,0.111,All Javonte Williams red zone receiving plays
Jeff Wilson,2TM,6,5,0.8332999999999999,33,1,,3,3,1.0,19,1,,All Jeff Wilson red zone receiving plays
Jelani Woods,IND,6,4,0.6667000000000001,29,3,0.095,3,2,0.6667000000000001,11,2,0.094,All Jelani Woods red zone receiving plays
Olamide Zaccheaus,ATL,6,4,0.6667000000000001,33,3,0.125,3,1,0.3333,3,1,0.107,All Olamide Zaccheaus red zone receiving plays
Braxton Berrios,NYJ,5,2,0.4,7,0,0.079,3,1,0.3333,1,0,0.107,All Braxton Berrios red zone receiving plays
Marquez Callaway,NOR,5,2,0.4,16,1,0.08199999999999999,2,1,0.5,4,1,0.095,All Marquez Callaway red zone receiving plays
Greg Dortch,ARI,5,4,0.8,15,2,0.08199999999999999,3,3,1.0,15,2,0.107,All Greg Dortch red zone receiving plays
Kenyan Drake,BAL,5,3,0.6,29,1,0.071,1,1,1.0,5,1,0.034,All Kenyan Drake red zone receiving plays
Travis Etienne,JAX,5,3,0.6,2,0,0.066,2,1,0.5,2,0,0.063,All Travis Etienne red zone receiving plays
Jody Fortson,KAN,5,2,0.4,11,2,0.047,5,2,0.4,11,2,0.078,All Jody Fortson red zone receiving plays
Breece Hall,NYJ,5,3,0.6,17,1,0.079,2,2,1.0,14,1,0.071,All Breece Hall red zone receiving plays
Mark Ingram,NOR,5,4,0.8,11,0,0.08199999999999999,3,2,0.6667000000000001,6,0,0.14300000000000002,All Mark Ingram red zone receiving plays
Trenton Irwin,CIN,5,3,0.6,18,2,0.057,3,2,0.6667000000000001,5,2,0.086,All Trenton Irwin red zone receiving plays
Van Jefferson,LAR,5,4,0.8,20,2,0.076,3,2,0.6667000000000001,10,2,0.077,All Van Jefferson red zone receiving plays
Alexander Mattison,MIN,5,5,1.0,33,1,0.051,1,1,1.0,-1,0,0.019,All Alexander Mattison red zone receiving plays
Foster Moreau,LVR,5,2,0.4,9,2,0.07200000000000001,3,2,0.6667000000000001,9,2,0.091,All Foster Moreau red zone receiving plays
Colby Parkinson,SEA,5,2,0.4,19,1,0.075,1,0,0.0,0,0,0.037000000000000005,All Colby Parkinson red zone receiving plays
Kyle Pitts,ATL,5,3,0.6,9,2,0.10400000000000001,4,3,0.75,9,2,0.14300000000000002,All Kyle Pitts red zone receiving plays
Teagan Quitoriano,HOU,5,2,0.4,10,2,0.076,3,2,0.6667000000000001,10,2,0.12,All Teagan Quitoriano red zone receiving plays
Hunter Renfrow,LVR,5,3,0.6,34,2,0.07200000000000001,1,0,0.0,0,0,0.03,All Hunter Renfrow red zone receiving plays
Shi Smith,CAR,5,2,0.4,32,2,0.132,1,0,0.0,0,0,0.059000000000000004,All Shi Smith red zone receiving plays
Geoff Swaim,TEN,5,3,0.6,7,1,0.08900000000000001,2,2,1.0,4,1,0.083,All Geoff Swaim red zone receiving plays
Tyquan Thornton,NWE,5,3,0.6,17,2,0.109,4,2,0.5,9,2,0.14300000000000002,All Tyquan Thornton red zone receiving plays
Kadarius Toney,KAN,5,5,1.0,28,2,0.047,4,4,1.0,25,2,0.063,All Kadarius Toney red zone receiving plays
Robert Tonyan,GNB,5,2,0.4,14,0,0.068,0,0,,0,0,0.0,All Robert Tonyan red zone receiving plays
Sammy Watkins,GNB,5,2,0.4,13,0,0.068,2,0,0.0,0,0,0.063,All Sammy Watkins red zone receiving plays
Brock Wright,DET,5,5,1.0,34,3,0.057999999999999996,4,4,1.0,17,3,0.098,All Brock Wright red zone receiving plays
Mo Alie-Cox,IND,4,3,0.75,25,3,0.063,3,2,0.6667000000000001,11,2,0.094,All Mo Alie-Cox red zone receiving plays
Eno Benjamin,ARI,4,3,0.75,18,0,0.066,1,0,0.0,0,0,0.036000000000000004,All Eno Benjamin red zone receiving plays
Kendrick Bourne,NWE,4,3,0.75,23,1,0.087,2,1,0.5,5,1,0.071,All Kendrick Bourne red zone receiving plays
Cameron Brate,TAM,4,1,0.25,8,0,0.042,2,0,0.0,0,0,0.040999999999999995,All Cameron Brate red zone receiving plays
Treylon Burks,TEN,4,2,0.5,19,0,0.071,3,1,0.3333,6,0,0.125,All Treylon Burks red zone receiving plays
DJ Chark,DET,4,2,0.5,10,1,0.047,2,1,0.5,1,1,0.049,All DJ Chark red zone receiving plays
Tyler Conklin,NYJ,4,3,0.75,20,3,0.063,3,3,1.0,20,3,0.107,All Tyler Conklin red zone receiving plays
James Conner,ARI,4,3,0.75,19,1,0.066,2,1,0.5,6,1,0.071,All James Conner red zone receiving plays
AJ Dillon,GNB,4,2,0.5,12,0,0.054000000000000006,2,1,0.5,6,0,0.063,All AJ Dillon red zone receiving plays
Ashton Dulin,IND,4,3,0.75,34,1,0.063,2,1,0.5,7,0,0.063,All Ashton Dulin red zone receiving plays
Chase Edmonds,MIA,4,3,0.75,28,1,0.065,2,1,0.5,7,1,0.065,All Chase Edmonds red zone receiving plays
Marquise Goodwin,SEA,4,3,0.75,27,1,0.06,0,0,,0,0,0.0,All Marquise Goodwin red zone receiving plays
Noah Gray,KAN,4,3,0.75,28,1,0.037000000000000005,2,1,0.5,5,0,0.031,All Noah Gray red zone receiving plays
Kendall Hinton,DEN,4,3,0.75,22,0,0.08199999999999999,2,2,1.0,8,0,0.07400000000000001,All Kendall Hinton red zone receiving plays
Justin Jackson,DET,4,3,0.75,19,1,0.047,1,1,1.0,2,1,0.024,All Justin Jackson red zone receiving plays
Josh Jacobs,LVR,4,2,0.5,7,0,0.057999999999999996,1,0,0.0,0,0,0.03,All Josh Jacobs red zone receiving plays
J.D. McKissic,WAS,4,0,0.0,0,0,0.07400000000000001,4,0,0.0,0,0,0.14300000000000002,All J.D. McKissic red zone receiving plays
Tre' McKitty,LAC,4,1,0.25,3,0,0.042,4,1,0.25,3,0,0.087,All Tre' McKitty red zone receiving plays
Scott Miller,TAM,4,2,0.5,12,0,0.042,3,1,0.3333,5,0,0.061,All Scott Miller red zone receiving plays
DeVante Parker,NWE,4,3,0.75,12,1,0.087,2,1,0.5,2,1,0.071,All DeVante Parker red zone receiving plays
Dante Pettis,CHI,4,2,0.5,8,1,0.10800000000000001,2,1,0.5,6,1,0.11800000000000001,All Dante Pettis red zone receiving plays
Brandon Powell,LAR,4,4,1.0,17,0,0.061,2,2,1.0,4,0,0.051,All Brandon Powell red zone receiving plays
Jonnu Smith,NWE,4,3,0.75,14,0,0.087,2,1,0.5,8,0,0.071,All Jonnu Smith red zone receiving plays
Mike Strachan,IND,4,0,0.0,0,0,0.063,3,0,0.0,0,0,0.094,All Mike Strachan red zone receiving plays
Eric Tomlinson,DEN,4,2,0.5,6,2,0.08199999999999999,4,2,0.5,6,2,0.14800000000000002,All Eric Tomlinson red zone receiving plays
Jaylen Warren,PIT,4,4,1.0,23,0,0.071,1,1,1.0,3,0,0.034,All Jaylen Warren red zone receiving plays
Quez Watkins,PHI,4,2,0.5,1,0,0.085,1,0,0.0,0,0,0.05,All Quez Watkins red zone receiving plays
Shane Zylstra,DET,4,4,1.0,12,4,0.047,4,4,1.0,12,4,0.098,All Shane Zylstra red zone receiving plays
Cam Akers,LAR,3,2,0.6667000000000001,4,0,0.045,3,2,0.6667000000000001,4,0,0.077,All Cam Akers red zone receiving plays
Chosen Anderson,2TM,3,1,0.3333,9,0,,1,0,0.0,0,0,,All Chosen Anderson red zone receiving plays
Gary Brightwell,NYG,3,2,0.6667000000000001,18,0,0.077,1,1,1.0,6,0,0.05,All Gary Brightwell red zone receiving plays
Keelan Cole,LVR,3,0,0.0,0,0,0.043,1,0,0.0,0,0,0.03,All Keelan Cole red zone receiving plays
River Cracraft,MIA,3,2,0.6667000000000001,13,2,0.048,2,1,0.5,2,1,0.065,All River Cracraft red zone receiving plays
Bryan Edwards,ATL,3,2,0.6667000000000001,5,0,0.063,2,1,0.5,3,0,0.071,All Bryan Edwards red zone receiving plays
Jake Ferguson,DAL,3,3,1.0,15,2,0.045,2,2,1.0,8,2,0.057,All Jake Ferguson red zone receiving plays
Kenneth Gainwell,PHI,3,1,0.3333,5,0,0.064,3,1,0.3333,5,0,0.15,All Kenneth Gainwell red zone receiving plays
Myles Gaskin,MIA,3,1,0.3333,2,0,0.048,0,0,,0,0,0.0,All Myles Gaskin red zone receiving plays
Reggie Gilliam,BUF,3,3,1.0,26,1,0.039,0,0,,0,0,0.0,All Reggie Gilliam red zone receiving plays
Kylen Granson,IND,3,2,0.6667000000000001,3,0,0.048,0,0,,0,0,0.0,All Kylen Granson red zone receiving plays
Connor Heyward,PIT,3,2,0.6667000000000001,26,1,0.054000000000000006,1,0,0.0,0,0,0.034,All Connor Heyward red zone receiving plays
Taysom Hill,NOR,3,2,0.6667000000000001,8,1,0.049,3,2,0.6667000000000001,8,1,0.14300000000000002,All Taysom Hill red zone receiving plays
O.J. Howard,HOU,3,1,0.3333,16,1,0.045,1,0,0.0,0,0,0.04,All O.J. Howard red zone receiving plays
Deon Jackson,IND,3,3,1.0,16,1,0.048,1,1,1.0,1,1,0.031,All Deon Jackson red zone receiving plays
Jauan Jennings,SFO,3,2,0.6667000000000001,6,1,0.049,2,2,1.0,6,1,0.067,All Jauan Jennings red zone receiving plays
Marcus Johnson,NYG,3,0,0.0,0,0,0.077,3,0,0.0,0,0,0.15,All Marcus Johnson red zone receiving plays
Dax Milne,WAS,3,3,1.0,24,1,0.055999999999999994,1,1,1.0,6,1,0.036000000000000004,All Dax Milne red zone receiving plays
David Montgomery,CHI,3,3,1.0,15,1,0.081,1,1,1.0,10,1,0.059000000000000004,All David Montgomery red zone receiving plays
Johnny Mundt,MIN,3,2,0.6667000000000001,18,1,0.031,2,1,0.5,1,1,0.038,All Johnny Mundt red zone receiving plays
Cordarrelle Patterson,ATL,3,1,0.3333,2,0,0.063,2,0,0.0,0,0,0.071,All Cordarrelle Patterson red zone receiving plays
James Robinson,2TM,3,2,0.6667000000000001,10,2,,2,2,1.0,10,2,,All James Robinson red zone receiving plays
Eric Saubert,DEN,3,1,0.3333,7,0,0.061,0,0,,0,0,0.0,All Eric Saubert red zone receiving plays
Cam Sims,WAS,3,1,0.3333,12,0,0.055999999999999994,1,0,0.0,0,0,0.036000000000000004,All Cam Sims red zone receiving plays
Ben Skowronek,LAR,3,0,0.0,0,0,0.045,1,0,0.0,0,0,0.026000000000000002,All Ben Skowronek red zone receiving plays
Darius Slayton,NYG,3,2,0.6667000000000001,16,0,0.077,1,1,1.0,6,0,0.05,All Darius Slayton red zone receiving plays
Durham Smythe,MIA,3,2,0.6667000000000001,9,1,0.048,1,1,1.0,4,1,0.032,All Durham Smythe red zone receiving plays
Jonathan Taylor,IND,3,2,0.6667000000000001,5,0,0.048,1,1,1.0,4,0,0.031,All Jonathan Taylor red zone receiving plays
Mike Thomas,CIN,3,0,0.0,0,0,0.034,1,0,0.0,0,0,0.028999999999999998,All Mike Thomas red zone receiving plays
Michael Thomas,NOR,3,3,1.0,19,3,0.049,3,3,1.0,19,3,0.14300000000000002,All Michael Thomas red zone receiving plays
Adam Trautman,NOR,3,2,0.6667000000000001,19,0,0.049,0,0,,0,0,0.0,All Adam Trautman red zone receiving plays
Avery Williams,ATL,3,3,1.0,11,0,0.063,1,1,1.0,7,0,0.036000000000000004,All Avery Williams red zone receiving plays
Nelson Agholor,NWE,2,1,0.5,13,0,0.043,1,0,0.0,0,0,0.036000000000000004,All Nelson Agholor red zone receiving plays
Dan Arnold,JAX,2,1,0.5,8,0,0.026000000000000002,0,0,,0,0,0.0,All Dan Arnold red zone receiving plays
Tutu Atwell,LAR,2,1,0.5,3,0,0.03,1,0,0.0,0,0,0.026000000000000002,All Tutu Atwell red zone receiving plays
Saquon Barkley,NYG,2,0,0.0,0,0,0.051,1,0,0.0,0,0,0.05,All Saquon Barkley red zone receiving plays
John Bates,WAS,2,1,0.5,16,1,0.037000000000000005,0,0,,0,0,0.0,All John Bates red zone receiving plays
Mike Boone,DEN,2,1,0.5,2,0,0.040999999999999995,1,0,0.0,0,0,0.037000000000000005,All Mike Boone red zone receiving plays
Malcolm Brown,LAR,2,1,0.5,3,0,0.03,1,1,1.0,3,0,0.026000000000000002,All Malcolm Brown red zone receiving plays
Pharaoh Brown,CLE,2,1,0.5,5,0,0.028999999999999998,0,0,,0,0,0.0,All Pharaoh Brown red zone receiving plays
Grant Calcaterra,PHI,2,1,0.5,-2,0,0.043,0,0,,0,0,0.0,All Grant Calcaterra red zone receiving plays
Malik Davis,DAL,2,2,1.0,15,0,0.03,0,0,,0,0,0.0,All Malik Davis red zone receiving plays
J.K. Dobbins,BAL,2,1,0.5,1,1,0.028999999999999998,2,1,0.5,1,1,0.069,All J.K. Dobbins red zone receiving plays
Phillip Dorsett,HOU,2,0,0.0,0,0,0.03,1,0,0.0,0,0,0.04,All Phillip Dorsett red zone receiving plays
Greg Dulcich,DEN,2,1,0.5,11,1,0.040999999999999995,1,0,0.0,0,0,0.037000000000000005,All Greg Dulcich red zone receiving plays
D'Wayne Eskridge,SEA,2,1,0.5,3,0,0.03,1,0,0.0,0,0,0.037000000000000005,All D'Wayne Eskridge red zone receiving plays
Zach Gentry,PIT,2,1,0.5,2,0,0.036000000000000004,2,1,0.5,2,0,0.069,All Zach Gentry red zone receiving plays
Melvin Gordon,DEN,2,2,1.0,14,0,0.040999999999999995,1,1,1.0,8,0,0.037000000000000005,All Melvin Gordon red zone receiving plays
Ryan Griffin,CHI,2,1,0.5,2,0,0.054000000000000006,1,0,0.0,0,0,0.059000000000000004,All Ryan Griffin red zone receiving plays
C.J. Ham,MIN,2,2,1.0,7,0,0.02,2,2,1.0,7,0,0.038,All C.J. Ham red zone receiving plays
Darrell Henderson,LAR,2,1,0.5,7,0,0.03,0,0,,0,0,0.0,All Darrell Henderson red zone receiving plays
Parker Hesse,ATL,2,1,0.5,5,0,0.042,0,0,,0,0,0.0,All Parker Hesse red zone receiving plays
Zander Horvath,LAC,2,2,1.0,2,2,0.021,2,2,1.0,2,2,0.043,All Zander Horvath red zone receiving plays
Alec Ingold,MIA,2,2,1.0,15,1,0.032,0,0,,0,0,0.0,All Alec Ingold red zone receiving plays
DeSean Jackson,BAL,2,0,0.0,0,0,0.028999999999999998,0,0,,0,0,0.0,All DeSean Jackson red zone receiving plays
Brandon Johnson,DEN,2,1,0.5,1,1,0.040999999999999995,2,1,0.5,1,1,0.07400000000000001,All Brandon Johnson red zone receiving plays
Velus Jones,CHI,2,1,0.5,9,1,0.054000000000000006,1,1,1.0,9,1,0.059000000000000004,All Velus Jones red zone receiving plays
Brevin Jordan,HOU,2,0,0.0,0,0,0.03,0,0,,0,0,0.0,All Brevin Jordan red zone receiving plays
Kyle Juszczyk,SFO,2,2,1.0,3,1,0.033,2,2,1.0,3,1,0.067,All Kyle Juszczyk red zone receiving plays
Zonovan Knight,NYJ,2,2,1.0,9,0,0.032,0,0,,0,0,0.0,All Zonovan Knight red zone receiving plays
Marcedes Lewis,GNB,2,2,1.0,3,2,0.027000000000000003,2,2,1.0,3,2,0.063,All Marcedes Lewis red zone receiving plays
Quintin Morris,BUF,2,2,1.0,14,1,0.026000000000000002,1,1,1.0,0,0,0.028999999999999998,All Quintin Morris red zone receiving plays
Chris Myarick,NYG,2,2,1.0,5,1,0.051,1,1,1.0,1,1,0.05,All Chris Myarick red zone receiving plays
Dare Ogunbowale,HOU,2,0,0.0,0,0,0.03,1,0,0.0,0,0,0.04,All Dare Ogunbowale red zone receiving plays
Donald Parham,LAC,2,1,0.5,3,1,0.021,2,1,0.5,3,1,0.043,All Donald Parham red zone receiving plays
Dameon Pierce,HOU,2,2,1.0,5,1,0.03,1,1,1.0,3,1,0.04,All Dameon Pierce red zone receiving plays
James Proche,BAL,2,1,0.5,6,0,0.028999999999999998,1,1,1.0,6,0,0.034,All James Proche red zone receiving plays
Wan'Dale Robinson,NYG,2,1,0.5,5,1,0.051,1,1,1.0,5,1,0.05,All Wan'Dale Robinson red zone receiving plays
Richard Rodgers,LAC,2,0,0.0,0,0,0.021,2,0,0.0,0,0,0.043,All Richard Rodgers red zone receiving plays
Kyle Rudolph,TAM,2,1,0.5,8,1,0.021,1,1,1.0,8,1,0.02,All Kyle Rudolph red zone receiving plays
Laviska Shenault,CAR,2,2,1.0,11,0,0.053,0,0,,0,0,0.0,All Laviska Shenault red zone receiving plays
David Sills,NYG,2,2,1.0,18,0,0.051,1,1,1.0,5,0,0.05,All David Sills red zone receiving plays
Tre'Quan Smith,NOR,2,1,0.5,18,1,0.033,1,0,0.0,0,0,0.048,All Tre'Quan Smith red zone receiving plays
Equanimeous St. Brown,CHI,2,1,0.5,18,1,0.054000000000000006,0,0,,0,0,0.0,All Equanimeous St. Brown red zone receiving plays
Ian Thomas,CAR,2,2,1.0,9,0,0.053,0,0,,0,0,0.0,All Ian Thomas red zone receiving plays
Laquon Treadwell,SEA,2,2,1.0,6,0,0.03,0,0,,0,0,0.0,All Laquon Treadwell red zone receiving plays
Justin Watson,KAN,2,1,0.5,4,1,0.019,2,1,0.5,4,1,0.031,All Justin Watson red zone receiving plays
Derek Watt,PIT,2,2,1.0,2,1,0.036000000000000004,2,2,1.0,2,1,0.069,All Derek Watt red zone receiving plays
Trevon Wesco,CHI,2,1,0.5,3,0,0.054000000000000006,1,1,1.0,3,0,0.059000000000000004,All Trevon Wesco red zone receiving plays
Jordan Wilkins,IND,2,2,1.0,6,0,0.032,1,1,1.0,4,0,0.031,All Jordan Wilkins red zone receiving plays
Jamaal Williams,DET,2,2,1.0,5,0,0.023,1,1,1.0,3,0,0.024,All Jamaal Williams red zone receiving plays
Michael Woods,CLE,2,1,0.5,4,0,0.028999999999999998,1,0,0.0,0,0,0.033,All Michael Woods red zone receiving plays
Andre Baccellia,ARI,1,0,0.0,0,0,0.016,0,0,,0,0,0.0,All Andre Baccellia red zone receiving plays
David Bakhtiari,GNB,1,0,0.0,0,0,0.013999999999999999,1,0,0.0,0,0,0.031,All David Bakhtiari red zone receiving plays
Michael Bandy,LAC,1,1,1.0,4,0,0.01,0,0,,0,0,0.0,All Michael Bandy red zone receiving plays
