Player,Team,Pass Targets,Receptions,Catch Percentage,Passing Yards,Passing Touchdowns,Target Percentage,Red Zone Targets,Red Zone Receptions,Red Zone Catch Percentage,Red Zone Yards,Red Zone Touchdowns,Red Zone Target Percentage,Player Link
Gunner Olszewski,PIT,1,1,1.0,8,0,0.018000000000000002,1,1,1.0,8,0,0.034,All Gunner Olszewski red zone receiving plays
Isiah Pacheco,KAN,1,1,1.0,9,0,0.009000000000000001,0,0,,0,0,0.0,All Isiah Pacheco red zone receiving plays
Zach Pascal,PHI,1,1,1.0,1,0,0.021,0,0,,0,0,0.0,All Zach Pascal red zone receiving plays
Dezmon Patmon,IND,1,0,0.0,0,0,0.016,1,0,0.0,0,0,0.031,All Dezmon Patmon red zone receiving plays
Rashaad Penny,SEA,1,1,1.0,4,0,0.015,0,0,,0,0,0.0,All Rashaad Penny red zone receiving plays
Byron Pringle,CHI,1,1,1.0,4,1,0.027000000000000003,1,1,1.0,4,1,0.059000000000000004,All Byron Pringle red zone receiving plays
Jalen Reagor,MIN,1,1,1.0,1,1,0.01,1,1,1.0,1,1,0.019,All Jalen Reagor red zone receiving plays
Patrick Ricard,BAL,1,1,1.0,12,0,0.013999999999999999,0,0,,0,0,0.0,All Patrick Ricard red zone receiving plays
Ronnie Rivers,LAR,1,1,1.0,14,0,0.015,0,0,,0,0,0.0,All Ronnie Rivers red zone receiving plays
Brian Robinson,WAS,1,1,1.0,14,1,0.019,0,0,,0,0,0.0,All Brian Robinson red zone receiving plays
Amari Rodgers,GNB,1,0,0.0,0,0,0.013999999999999999,0,0,,0,0,0.0,All Amari Rodgers red zone receiving plays
Drew Sample,CIN,1,1,1.0,2,0,0.011000000000000001,0,0,,0,0,0.0,All Drew Sample red zone receiving plays
Rashid Shaheed,NOR,1,1,1.0,8,0,0.016,0,0,,0,0,0.0,All Rashid Shaheed red zone receiving plays
Sterling Shepard,NYG,1,0,0.0,0,0,0.026000000000000002,0,0,,0,0,0.0,All Sterling Shepard red zone receiving plays
Steven Sims,PIT,1,0,0.0,0,0,0.018000000000000002,0,0,,0,0,0.0,All Steven Sims red zone receiving plays
Ihmir Smith-Marsette,CHI,1,0,0.0,0,0,0.027000000000000003,1,0,0.0,0,0,0.059000000000000004,All Ihmir Smith-Marsette red zone receiving plays
Jeff Smith,NYJ,1,0,0.0,0,0,0.016,0,0,,0,0,0.0,All Jeff Smith red zone receiving plays
Keith Smith,ATL,1,0,0.0,0,0,0.021,1,0,0.0,0,0,0.036000000000000004,All Keith Smith red zone receiving plays
Jack Stoll,PHI,1,0,0.0,0,0,0.021,1,0,0.0,0,0,0.05,All Jack Stoll red zone receiving plays
Jalen Tolbert,DAL,1,1,1.0,4,0,0.015,0,0,,0,0,0.0,All Jalen Tolbert red zone receiving plays
Samori Toure,GNB,1,1,1.0,2,0,0.013999999999999999,0,0,,0,0,0.0,All Samori Toure red zone receiving plays
Cole Turner,WAS,1,0,0.0,0,0,0.019,1,0,0.0,0,0,0.036000000000000004,All Cole Turner red zone receiving plays
DJ Turner,LVR,1,0,0.0,0,0,0.013999999999999999,0,0,,0,0,0.0,All DJ Turner red zone receiving plays
C.J. Uzomah,NYJ,1,1,1.0,1,1,0.016,1,1,1.0,1,1,0.036000000000000004,All C.J. Uzomah red zone receiving plays
Nick Vannett,NYG,1,1,1.0,12,0,0.026000000000000002,0,0,,0,0,0.0,All Nick Vannett red zone receiving plays
Kenneth Walker,SEA,1,1,1.0,4,0,0.015,0,0,,0,0,0.0,All Kenneth Walker red zone receiving plays
Jonathan Ward,TEN,1,1,1.0,4,0,0.018000000000000002,0,0,,0,0,0.0,All Jonathan Ward red zone receiving plays
Mitchell Wilcox,CIN,1,1,1.0,12,1,0.011000000000000001,0,0,,0,0,0.0,All Mitchell Wilcox red zone receiving plays
Darrel Williams,ARI,1,0,0.0,0,0,0.016,1,0,0.0,0,0,0.036000000000000004,All Darrel Williams red zone receiving plays
Kyren Williams,LAR,1,0,0.0,0,0,0.015,0,0,,0,0,0.0,All Kyren Williams red zone receiving plays
Zach Wilson,NYJ,1,1,1.0,2,1,0.016,1,1,1.0,2,1,0.036000000000000004,All Zach Wilson red zone receiving plays
